keyword,count
한국어교육,269
어휘 교육,116
말뭉치,58
교재,50
유의어,35
한국어,33
한자어,29
오류 분석,21
어휘,19
연어,16
Korean,15
한국어 어휘 교육,14
중국인 한국어 학습자,14
한자,13
중국인 학습자,13
오류,13
학문 목적 한국어,13
빈도,13
한국어 학습자,13
vocabulary,12
TOPIK,10
중국어,10
한자어 교육,10
외래어,10
합성어,9
Sino-Korean words,9
다문화가정,9
Sino-Korean word,8
연구 동향,8
Chinese character,8
한자 교육,8
KFL,8
어휘 학습,8
교육과정,8
여성결혼이민자,8
번역,8
구어 말뭉치,8
문화,8
어휘 능력,7
문화교육,7
Korean language,7
스토리텔링,7
외국어로서의 한국어교육,7
curriculum,7
漢字語,7
교재 개발,7
공기 관계,7
한자교육,7
문법 항목,7
쓰기 교육,7
어휘 지식,6
한국어 어휘,6
어휘 목록,6
고급 학습자,6
Vocabulary,6
텍스트,6
의사소통능력,6
의성어,6
Korean culture,6
인지,6
쓰기,6
Writing,6
한국어 문법 교육,6
속담,6
한국어 쓰기 교육,6
학습 한국어,6
literacy,6
Korean textbooks,6
구어,6
관용표현,6
문법,6
writing,6
한국어 쓰기,6
Korean for academic purposes,6
word formation,5
교육 방안,5
언어 네트워크 분석,5
오류분석,5
학습자,5
문학교육,5
국어교육,5
의태어,5
Pronunciation,5
담화표지,5
텍스트 분석,5
읽기,5
Generative AI,5
유학생,5
한국어 학습,5
어휘상,5
lexical aspect,5
Chinese learners,5
의미,5
한국어 교육과정,5
textbook analysis,5
신조어,5
synonyms,5
Chinese,5
말하기,5
grammar,5
